Country Name,Country Code,coal,natural_gas,hydroelectric,oil
Nigeria,566,0,17.63999939,6.079999924,6.010000229
Tanzania,834,0.050000001,2.430000067,1.779999971,2.029999971
Zambia,894,0,0,12.69999981,0.029999999
