1,1,0.484806
1,2,0.616167
1,3,0.837776
1,4,0.876542
1,5,0.856364
1,6,0.76759
1,7,0.638599
1,8,0.749766
1,9,0.890928
2,10,0.307137
2,11,0.289523
2,12,0.290854
3,13,0.875621
3,14,0.873553
3,15,0.92917
3,16,0.833847
3,17,0.906198
3,18,0.905285
3,19,0.861771
4,20,0.860137
4,21,0.824051
4,22,0.796841
4,23,0.838599
4,24,0.79941
5,25,0.702782
5,26,0.543721
5,27,0.764208
5,28,0.638879
5,29,0.705071
6,30,0.865224
6,31,0.653475
6,32,0.50648
6,33,0.740347
6,34,0.739002
6,35,0.747349
6,36,0.653288
6,37,0.735076
6,38,0.850069
7,39,0.929626
7,40,0.865744
7,41,0.850157
7,42,0.766364
7,43,0.860976
8,44,0.912436
8,45,0.892533
8,46,0.895737
8,47,0.919083
8,48,0.917557
8,49,0.908434
8,50,0.734764
8,51,0.85225
8,52,0.884678
9,53,0.603123
9,54,0.630551
9,55,0.446522
9,56,0.689722
9,57,0.69021
9,58,0.751723
9,59,0.639524
10,60,0.773464
10,61,0.821246
10,62,0.701336
10,63,0.849048
10,64,0.792815
10,65,0.814775
11,66,0.854642
11,67,0.883135
11,68,0.917976
11,69,0.929743
11,70,0.882938
11,71,0.893677
11,72,0.73461
12,73,0.818373
12,74,0.833124
12,75,0.832567
12,76,0.80379
12,77,0.611397
12,78,0.841888
12,79,0.908561
12,80,0.856214
13,81,0.786651
13,82,0.895328
13,83,0.753999
13,84,0.891828
13,85,0.730896
13,86,0.832008
13,87,0.738029
13,88,0.882119
13,89,0.88544
13,90,0.820098
13,91,0.832118
14,92,0.910681
14,93,0.641079
14,94,0.806656
14,95,0.755101
14,96,0.595746
14,97,0.831639
14,98,0.724028
15,99,0.70312
15,100,0.766643
15,101,0.82815
15,102,0.603595
15,103,0.773509
15,104,0.776927
15,105,0.803275
16,106,0.558292
16,107,0.813665
16,108,0.785021
16,109,0.789506
16,110,0.792183
16,111,0.570832
16,112,0.774397
16,113,0.765096
17,114,0.896986
17,115,0.671602
17,116,0.846392
17,117,0.810499
17,118,0.789298
17,119,0.766802
20,124,0.748322
20,125,0.636098
20,126,0.697515
20,127,0.691557
20,128,0.627153
20,129,0.675085
20,130,0.70665
21,131,0.931163
21,133,0.929775
21,134,0.918975
21,135,0.911229
21,136,0.888317
22,137,0.909308
22,138,0.905531
22,139,0.895294
22,140,0.896868
22,141,0.84036
22,142,0.867077
23,143,0.772469
23,144,0.849346
23,145,0.814342
23,146,0.801878
23,147,0.683182
24,148,0.858962
24,149,0.820433
24,150,0.857556
24,151,0.877284
24,152,0.841508
24,153,0.829189
24,154,0.863061
25,155,0.893896
25,156,0.868333
25,157,0.869506
25,158,0.890461
25,159,0.903279
25,160,0.847305
26,161,0.825153
26,162,0.892791
26,163,0.816302
26,164,0.829475
26,165,0.689703
26,166,0.859906
26,167,0.844748
27,168,0.788525
27,169,0.829244
27,170,0.892272
27,171,0.716894
27,172,0.800359
27,173,0.817974
27,174,0.799057
27,175,0.801403
27,176,0.821136
27,177,0.662917
